country_name,continent_name,wage_span,median_salary,average_salary,lowest_salary,highest_salary
Afghanistan,Asia,Monthly,853.74,1001.15,252.53,4460.97
Aland Islands,Europe,Monthly,3319.24,3858.35,972.52,17124.74
Albania,Europe,Monthly,832.84,956.92,241.22,4258.49
Algeria,Africa,Monthly,1148.84,1308.81,330.11,5824.18
American Samoa,Oceania,Monthly,1390,1570,400,6980
Andorra,Europe,Monthly,3668.08,4069.77,1120.51,17653.28
Angola,Africa,Monthly,284.39,314.39,79.32,1403.96
Antigua and Barbuda,Caribbean,Monthly,1548.15,1677.78,422.22,7444.44
Argentina,South America,Monthly,110.28,129.42,32.57,577.13
Armenia,Asia,Monthly,1700.25,1974.32,497.39,8780.39
Aruba,Caribbean,Monthly,1106.15,1268.16,318.44,5642.46
Australia,Oceania,Monthly,4306.45,4903.23,1236.13,21774.19
Austria,Europe,Monthly,3572.94,4016.91,1014.8,17864.69
Azerbaijan,Asia,Monthly,1558.82,1741.18,441.18,7764.71
Bahamas,North America,Monthly,3541.0,3908.0,983.0,17416.0
Bahrain,Asia,Monthly,3617.02,3936.17,984.04,17553.19
Bangladesh,Asia,Monthly,218.57,236.71,59.68,1052.06
Barbados,Caribbean,Monthly,1395.0,1635.0,410.0,7250.0
Belarus,Europe,Monthly,849.5,983.28,247.49,4381.27
Belgium,Europe,Monthly,5729.39,6522.2,1997.89,27378.44
Belize,Central America,Monthly,1730.0,1965.0,495.0,8750.0
Benin,Africa,Monthly,488.25,549.48,138.58,2449.28
Bermuda,Northern America,Monthly,1440.0,1600.0,400.0,7120.0
Bhutan,Asia,Monthly,407.26,449.3,113.17,1994.23
Bolivia,South America,Monthly,1131.5,1236.99,312.14,5505.78
Bosnia and Herzegovina,Europe,Monthly,1151.35,1248.65,313.51,5567.57
Botswana,Africa,Monthly,729.39,860.69,216.63,3822.03
Brazil,South America,Monthly,1490.04,1711.16,432.27,7609.56
British Indian Ocean Territory,Africa,Monthly,2360,2690,680,12000
Brunei,Asia,Monthly,2110.29,2375.0,595.59,10588.24
Bulgaria,Europe,Monthly,1605.41,1794.59,454.05,7945.95
Burkina Faso,Africa,Monthly,485.02,534.97,135.03,2384.83
Burundi,Africa,Monthly,384.78,420.08,105.55,1863.89
Cambodia,Asia,Monthly,745.19,808.3,203.41,3592.44
Cameroon,Africa,Monthly,633.27,744.45,186.92,3303.31
Canada,Northern America,Monthly,6311.03,7352.94,1850.0,32720.59
Cape Verde,Africa,Monthly,1706.29,1965.11,495.59,8742.33
Cayman Islands,Caribbean,Monthly,3430.97,3901.56,984.39,17406.96
Central African Republic,Africa,Monthly,621.99,699.33,175.64,3109.94
Chad,Africa,Monthly,707.39,787.96,198.2,3512.79
Chile,South America,Monthly,1890.4,2090.56,525.98,9274.09
China,Asia,Monthly,3684.93,4027.4,1015.07,17945.21
Colombia,South America,Monthly,995.6,1157.85,292.53,5137.79
Comoros,Africa,Monthly,567.21,651.0,163.93,2900.48
Congo,Africa,Monthly,1058.67,1205.3,302.94,5365.86
Congo Democratic Republic,Africa,Monthly,170.39,191.74,48.34,853.95
Cook Islands,Oceania,Monthly,2538.92,2832.34,712.57,12574.85
Costa Rica,Central America,Monthly,4016.06,4427.01,1115.16,19613.34
Cote Divoire,Africa,Monthly,497.91,544.64,137.45,2417.05
Croatia,Europe,Monthly,1935.48,2089.76,527.35,9298.74
Cuba,Caribbean,Monthly,783.33,916.67,231.25,4079.17
Cyprus,Europe,Monthly,1976.74,2293.87,581.4,10211.42
Czech Republic,Europe,Monthly,2310.03,2653.06,668.69,11810.68
Denmark,Europe,Monthly,5084.99,5779.04,1458.92,25637.39
Djibouti,Africa,Monthly,1378.57,1553.0,391.63,6921.0
Dominica,Caribbean,Monthly,496.3,555.56,140.74,2470.37
Dominican Republic,Caribbean,Monthly,318.89,350.6,88.62,1562.72
East Timor,Asia,Monthly,2030,2220,560,9860
Ecuador,South America,Monthly,1260,1370,340,6080
Egypt,Africa,Monthly,254.53,298.51,75.36,1329.24
